Node ID,Equivalent Stress,Stress X,Stress Y,Deformation X,Deformation Y,Shear
1,87152691.4191,88350963.5925,17934693.8133,0.0,0.0,18731373.7869
2,49997413.8623,49994865.4175,-5095.34077719,0.00142234516144,-1.71539317816e-05,-4395.86327411
3,49996042.2201,49991971.9696,-8136.71969809,0.00155337107182,-0.000243328303099,6816.51639752
4,87318623.3316,88558959.9609,18017613.4109,0.0,0.0,-18733564.3768
5,58526157.0164,-37633.1678902,-58544952.3926,0.000980574965477,-6.85960426927e-05,-21757.9367260
6,57094028.4173,56149061.8388,-1796380.29138,5.32922819257e-05,3.723789379e-05,-986388.246218
7,50098482.3343,49909713.7451,-363557.873294,9.07483100891e-05,5.86202330887e-05,-447646.575669
8,47723406.7057,47680201.2126,-85994.0471128,0.000125314548612,7.35045224428e-05,-69165.2117918
9,46929326.2292,46901706.6956,-54609.4180706,0.00015903583169,8.45469236374e-05,-95415.3525333
10,46854657.3224,46837416.6489,-34245.3264166,0.000192459836602,9.28924381733e-05,-58249.7270079
11,47114372.8726,47110479.9906,-7734.84818637,0.000225972130895,9.92593690753e-05,-28011.8503918
12,47585815.6512,47581864.6749,-7826.51512418,0.000259776383638,0.000104170098901,-34369.6288764
13,48144973.0168,48142007.1920,-5874.06036599,0.000293958902359,0.000108030989766,-30258.6480975
14,48701908.6811,48702794.3929,1796.79194116,0.000328546017408,0.000111163511872,-20273.6873180
15,49192919.2874,49195854.1870,5883.81189543,0.000363518357277,0.000113836303353,-14870.1475312
16,49555661.5309,49560230.2551,9143.97749390,0.000398803114891,0.000116257868707,-9324.57592959
17,49729757.6021,49735698.7000,11885.1371420,0.000434286862612,0.000118576392531,-3666.79881699
18,49675619.8681,49681718.1905,12202.3794878,0.000469815611839,0.000120867550373,7598.26724728
19,49366101.5075,49372357.6864,12527.1923995,0.000505217552185,0.000123122103512,14313.5627732
20,48813943.6378,48819531.7586,11219.0207389,0.000540303707123,0.00012523317337,25779.9557100
21,48088938.1681,48090174.3571,2522.13328107,0.000574928939342,0.000126999676228,28212.9005839
22,47293774.5813,47293788.9099,63.1154107396,0.000608997702599,0.000128136560321,23307.0173611
23,46587315.3263,46582187.6526,-10207.2239388,0.000642507493496,0.000128324225545,26856.4224243
24,46121326.9563,46111644.7449,-19354.5444248,0.000675588130951,0.000127255558968,7630.10637214
25,45990121.5330,45981238.0473,-17760.3823443,0.000708440005779,0.000124716453254,-4706.87825388
26,46260988.1137,46252236.6842,-17479.5808271,0.00074134594202,0.000120634429157,-16809.9726240
27,46898031.4126,46892505.6458,-11006.1678570,0.00077458435297,0.000115094430745,-26055.8333248
28,47788502.5741,47783687.5916,-9548.66991378,0.000808385968208,0.000108334042132,-35667.8664684
29,48774516.0524,48774888.3565,794.472502700,0.000842867195606,0.000100670963526,-28470.0524062
30,49721899.6031,49725982.6660,8204.07585707,0.000878057062626,9.24599543214e-05,-24741.7837381
31,50521591.2685,50526882.1716,10602.3870952,0.000913879215717,8.40242952108e-05,-17846.2807089
32,51113825.5300,51119857.7881,12071.9711607,0.000950203239918,7.56152570248e-05,-9517.62862193
33,51482281.7024,51487781.5247,11002.6636782,0.000986869513988,6.74045011401e-05,-4641.99933534
34,51641373.9047,51646394.0938,10042.3078596,0.00102372348309,5.94830662012e-05,-2829.20245081
35,51636289.5070,51640157.0638,7737.69492904,0.00106062459946,5.1877066493e-05,5427.98088281
36,51509696.6188,51512214.6606,5038.03277388,0.00109747684002,4.45670820773e-05,5207.57950532
37,51300878.7985,51302296.9564,2838.65424656,0.0011342022419,3.7505608052e-05,6162.27571542
38,51049121.8864,51049672.4447,1103.38285109,0.00117075932026,3.06297112256e-05,6185.36568557
39,50783786.3949,50783608.7545,-353.570175018,0.00120712852478,2.38724052906e-05,5378.30606724
40,50528565.8758,50527776.0824,-1578.35537539,0.00124330925941,1.71682871878e-05,4485.46892342
41,50303874.4789,50302495.3206,-2757.23231122,0.00127931630611,1.04576433077e-05,4034.83689297
42,50126765.9996,50125197.0927,-3137.40208124,0.00131517791748,3.69025487453e-06,2101.91299751
43,50015240.1605,50013387.0443,-3705.99011270,0.00135093379021,-3.16912960261e-06,-778.949430241
44,49980678.3104,49979546.8648,-2258.64659296,0.00138663911819,-1.01300999522e-05,-8333.14424381
85,50009055.5686,49998463.9486,-21174.0244801,0.00142937707901,-2.89472769946e-05,-6444.89129384
86,49990153.9925,49996552.7852,12800.1143845,0.00143647122383,-4.07430827618e-05,-1085.90209857
87,49934172.3778,49996803.2837,125498.726964,0.00144366633892,-5.2486024797e-05,2429.12763012
88,49848284.8130,49997643.7887,300073.782603,0.0014509499073,-6.41249194741e-05,4171.09415866
89,49742926.3681,49998835.2458,515831.232071,0.00145828402042,-7.56222978234e-05,5054.86348023
90,49628526.9243,50000204.7221,751901.586850,0.00146561670303,-8.69556888938e-05,5468.16488107
91,49514414.8662,50000961.3037,987877.329191,0.00147288942337,-9.81185287237e-05,4573.14836482
92,49412835.4177,50002592.7226,1201426.66499,0.00148004329205,-0.000109118722379,3967.59617918
93,49332846.1465,50003292.0837,1369406.06435,0.00148702263832,-0.000119981124997,3063.10894909
94,49284922.5100,50004652.6591,1472459.95204,0.00149378299713,-0.000130744278431,1770.31111283
95,49273979.0963,50005026.4994,1496173.65996,0.00150029528141,-0.000141462445259,-1699.63343069
96,49305098.0490,50004297.8923,1429488.34101,0.00150655138493,-0.000152194112539,-1811.21697339
97,49379756.6909,50003964.7420,1273035.28786,0.00151256942749,-0.000163007199764,-4957.85292393
98,49490260.3398,50002634.6842,1041182.35906,0.00151839339733,-0.000173960730433,-8032.68949191
99,49627705.3601,50000713.3484,754629.880190,0.00152409315109,-0.000185103043914,-11105.9130868
100,49770677.4477,49998076.1210,457961.271207,0.0015297523737,-0.000196454122663,-7566.88291828
101,49897924.2520,49996252.6957,197243.074576,0.00153546082973,-0.000208010911942,-4858.52857431
102,49985434.0687,49995183.3089,19504.1933718,0.00154129397869,-0.00021972848475,293.357569414
103,50015055.7557,49997948.9644,-34190.4225449,0.00154728341103,-0.000231530442834,9688.57776995
124,49968328.0338,49966843.9229,-2958.59912876,0.00151802647114,-0.000237289145589,12573.2918580
125,50015745.9452,50012850.4435,-5790.45993315,0.00148268616199,-0.000231152847409,822.641544801
126,50185447.6764,50182623.5453,-5647.59785872,0.00144727194309,-0.000224849492311,-1771.36517596
127,50477705.4181,50474238.0778,-6933.47048946,0.00141169321537,-0.000218375712633,-2888.41741470
128,50885381.6290,50882006.3273,-6748.03531729,0.00137586462498,-0.000211759909987,-5672.21967503
129,51421292.7113,51418865.2039,-4853.73133173,0.00133970451355,-0.000205048441887,-4014.04709555
130,52114098.6438,52111511.2305,-5174.05949843,0.0013031116724,-0.000198310226202,-2575.47141518
131,53003643.9467,52997557.3222,-12160.6152194,0.00126596140862,-0.000191639527678,-13647.0699217
132,54114917.6244,54108203.8879,-13410.1090953,0.00122811686993,-0.000185167640448,-16378.5391487
