Node ID,Von Mises Stress,Stress X,Stress Y,Displacement X,Displacement Y,Shear
1,83797553.7326,85147586.8225,15754664.8979,0.0,0.0,16982154.3694
2,49996480.0409,49992937.0880,-7083.02925341,0.00050565892458,5.4402416572e-06,-5949.61922616
3,49995843.6666,49991708.7555,-8266.00333676,0.000535808205605,-6.53886348009e-05,6823.52273725
4,84100644.7605,85491645.8130,15861343.8606,0.0,0.0,-17014965.0574
5,57466601.3843,-28258.7744296,-57480721.7916,0.000340680599213,-1.53449513018e-05,-12016.2849004
6,56794230.6933,55970924.3774,-1575713.78350,1.82130057365e-05,1.16720860824e-05,-849163.005749
7,50429912.3583,50260326.3855,-328159.140268,3.1352031976e-05,1.84086468071e-05,-397734.488050
8,48298233.4950,48258246.1039,-79664.5797479,4.35766987503e-05,2.3093374446e-05,-58373.4276394
9,47673659.3762,47641615.5497,-63794.6898739,5.55373616517e-05,2.65613738447e-05,-60316.6163589
10,47642052.2796,47624745.6868,-34382.0514778,6.74272105098e-05,2.91792042553e-05,-58095.0248986
11,47971358.8130,47964355.4688,-13941.3526825,7.93621465564e-05,3.11775058508e-05,-31561.9821971
12,48515588.3266,48514457.7026,-2217.34627848,9.14168134332e-05,3.27275693417e-05,-26622.2221156
13,49175850.5757,49172677.3580,-6294.33329838,0.000103627428412,3.39682884514e-05,-29054.2511890
14,49848059.6618,49848793.0298,1495.96336996,0.00011600510776,3.50103452802e-05,-22024.6141156
15,50465762.8688,50469319.6615,7135.46921421,0.000128547534347,3.59519347548e-05,-18852.0470013
16,50964069.6854,50966327.6672,4519.03297411,0.000141230136156,3.68743501604e-05,-6858.36553263
17,51249139.2811,51254094.4417,9918.52162406,0.000154015362263,3.78385186195e-05,-10746.7276976
18,51245659.4121,51254192.3523,17071.5349571,0.000166837826371,3.88828590512e-05,4871.40562230
19,50934438.6004,50944151.5605,19459.2569023,0.00017962282896,4.00088839233e-05,21710.1223146
20,50298076.5039,50304201.7619,12287.2781164,0.000192289739847,4.11787107587e-05,24054.3109054
21,49382202.0303,49383532.2062,2738.27912558,0.000204757750034,4.2305149138e-05,35789.1588161
